No;Date;Shift;Place of Occurrence;Root Cause;Accident Category;Accident Type;Detailed Root Cause;Error Types
230;Monday, 26 December 2022;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
231;Sunday, 25 December 2022;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
232;Saturday, 31 December 2022;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
233;Sunday, 01 January 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
234;Saturday, 07 January 2023;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
235;Saturday, 14 January 2023;II;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
236;Wednesday, 18 January 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
237;Sunday, 22 January 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
238;Wednesday, 25 January 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
239;Friday, 27 January 2023;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
240;Saturday, 28 January 2023;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
241;Sunday, 29 January 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
242;Saturday, 28 January 2023;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
243;Sunday, 05 February 2023;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
244;Sunday, 05 February 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
245;Saturday, 11 February 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
246;Friday, 17 February 2023;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
247;Monday, 20 February 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
248;Tuesday, 21 February 2023;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
249;Thursday, 02 March 2023;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
250;Monday, 06 March 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
251;Sunday, 19 March 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
252;Monday, 20 March 2023;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
253;Tuesday, 21 March 2023;II;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
254;Wednesday, 22 March 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
255;Friday, 31 March 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
256;Sunday, 02 April 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
257;Wednesday, 05 April 2023;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
258;Thursday, 06 April 2023;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
259;Thursday, 06 April 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
260;Friday, 07 April 2023;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
261;Friday, 21 April 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
262;Friday, 21 April 2023;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
263;Monday, 24 April 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
264;Sunday, 30 April 2023;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
265;Tuesday, 02 May 2023;III;Vessel;Method;Work Accident;Worker slips and fell;;
266;Saturday, 06 May 2023;I;Gate;Method;Cargodoring Occurrences;Equipment Malfunction;;
267;Monday, 08 May 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
268;Tuesday, 09 May 2023;I;CY;Method;Cargodoring Occurrences;Traffic Collision;;
269;Friday, 12 May 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
270;Sunday, 14 May 2023;III;CY;Method;Work Accident;Worker slips and fell;;
271;Sunday, 21 May 2023;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
272;Tuesday, 23 May 2023;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
273;Saturday, 25 March 2023;II;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
274;Friday, 02 June 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
275;Monday, 05 June 2023;II;CY;Method;Cargodoring Occurrences;Traffic Collision;;
276;Tuesday, 06 June 2023;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
277;Friday, 09 June 2023;III;CY;Method;Cargodoring Occurrences;Traffic Collision;;
278;Friday, 09 June 2023;I;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
279;Wednesday, 14 June 2023;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
280;Thursday, 22 June 2023;III;Vessel;Method;Stevedoring Occurrences;Loading and Unloading Accident;;
281;Saturday, 24 June 2023;I;CY;Method;Cargodoring Occurrences;Loading and Unloading Accident;;
